280;0;47586
278;0;50429
285;0;43356
281;0;45407
284;0;37672
284;0;36318
284;0;39085
282;0;43531
286;0;38136
283;0;46560
278;0;56253
283;0;40821
279;0;44665
279;0;51506
283;0;46218
285;0;35107
277;0;57585
276;0;62974
281;0;33165
284;0;36868
282;0;51196
285;0;43579
284;0;36672
281;0;46908
287;0;36124
285;0;41575
277;0;52939
285;0;39163
273;0;67939
280;0;55350
280;0;48525
285;0;41373
278;0;49200
276;0;60890
279;0;50880
280;0;52104
280;0;55088
283;0;38472
277;0;58278
274;0;67209
277;0;56189
285;0;39358
282;0;42339
275;0;60138
276;0;59737
285;0;39562
282;0;50199
283;0;40564
288;0;32189
281;0;46333
280;0;48436
279;0;43120
277;0;59215
277;0;56102
281;0;42845
282;0;43705
289;0;29892
278;0;48269
281;0;46343
270;0;62987
284;0;37367
286;0;39028
283;0;47026
285;0;41030
285;0;33301
270;0;73384
273;0;59383
283;0;41634
281;0;53792
281;0;44524
277;0;54345
283;0;40568
277;0;53371
281;0;44588
286;0;31241
281;0;50699
278;0;52612
279;0;53540
283;0;36956
281;0;40829
276;0;56996
281;0;47038
282;0;50139
282;0;42221
278;0;54890
281;0;51785
276;0;60648
286;0;38538
286;0;37777
288;0;32469
279;0;55473
273;0;66922
283;0;47965
284;0;42397
280;0;51456
285;0;40157
283;0;40951
289;0;28365
275;0;64302
277;0;52769
;;;77m53s
