90;0;2189
-25;0;3287
-25;0;4481
-25;0;2870
-25;0;3461
-25;0;4622
-25;0;2333
-25;0;3492
-25;0;3676
-25;0;4275
90;0;2238
-25;0;4126
-25;0;3265
-25;0;3746
88;0;2757
-25;0;4538
-25;0;4177
-25;0;2859
-25;0;2714
-25;0;4025
-25;0;3856
-25;0;4312
-25;0;3705
-25;0;3373
-25;0;3460
-25;0;4019
-25;0;2812
-25;0;3793
-25;0;2667
-25;0;2902
-25;0;3705
-25;0;2601
94;0;1775
-25;0;2645
94;0;1598
-25;0;2944
-25;0;4195
-25;0;2619
-25;0;2273
-25;0;3267
87;0;2715
-25;0;4173
-25;0;2603
90;0;2306
83;0;3915
-25;0;2906
88;0;2391
88;0;2938
-25;0;3134
76;0;4313
-25;0;3273
-25;0;2713
-25;0;2798
-25;0;4116
-25;0;3348
84;0;3916
-25;0;3078
-25;0;3576
-25;0;2282
-25;0;3135
-25;0;3621
-25;0;3195
92;0;2540
-25;0;3390
-25;0;3428
-25;0;2978
-25;0;4223
90;0;2059
-25;0;3761
-25;0;3439
-25;0;3193
-25;0;3759
-25;0;3170
82;0;2915
82;0;3169
-25;0;4958
-25;0;3684
-25;0;2930
94;0;2272
-25;0;2733
92;0;2325
-25;0;2504
90;0;2936
-25;0;3691
-25;0;2988
-25;0;3120
-25;0;2701
82;0;1525
-25;0;3037
-25;0;3163
-25;0;5244
92;0;1553
-25;0;3314
76;0;3957
-25;0;3946
92;0;1940
94;0;1976
-25;0;3938
-25;0;3698
-25;0;4085
;;;110
